schema_version,prompt_version,poem_id,poem_title,language,status,model,confidence,needs_human_review,stanza_count,alignment_status,alignment_confidence,entities_dropped,metaphors_dropped,low_confidence_stanza_count,translation_fidelity_score,review_item_count
5,9,MV++_0001,O Mur Apunar Desh,Assamese,completed,gemini-chunked,high,False,1,aligned,0.8766,0,0,0,1.0,0
5,9,MV++_0003,Nadi,Assamese,completed,gemini-chunked,high,False,1,aligned,0.8457,0,0,0,1.0,0
5,9,MV++_0004,Brahmaputra,Assamese,completed,gemini-chunked,low,True,1,aligned,0.8424,0,2,0,1.0,2
5,9,MV++_0006,Jibon,Assamese,completed,gemini-chunked,low,True,1,aligned,0.8154,0,1,0,1.0,1
5,9,MV++_0007,Pratima,Assamese,completed,gemini-chunked,high,False,1,aligned,0.8418,0,0,0,1.0,0
5,9,MV++_0008,Chitto Jetha Bhayshunyo,Bengali,completed,gemini-chunked,low,False,1,aligned,0.9424,0,0,0,0.5,0
5,9,MV++_0009,Banalata Sen,Bengali,completed,gemini-chunked,high,False,5,aligned,0.8647,0,0,0,0.8,0
5,9,MV++_0010,Aaj Nover Sukh,Bengali,completed,gemini-chunked,high,False,5,aligned,0.81,0,0,0,0.8,0
5,9,MV++_0011,O Amar Desher Mati,Bengali,completed,gemini-chunked,high,False,4,aligned,0.8417,0,0,0,0.75,0
5,9,MV++_0013,Anondolokey,Bengali,completed,gemini-chunked,low,False,3,aligned,0.7657,0,0,0,0.5,0
5,9,MV++_0036,Bodo Gwsing,Bodo,completed,gemini-chunked,high,False,1,aligned,0.8948,0,0,0,1.0,0
5,9,MV++_0037,Phul Gwsing,Bodo,completed,gemini-chunked,low,False,1,aligned,0.9855,0,0,0,0.5,0
5,9,MV++_0038,Kokrajhar,Bodo,completed,gemini-chunked,high,False,1,aligned,0.9448,0,0,0,1.0,0
5,9,MV++_0039,Bodo Rakhang,Bodo,completed,gemini-chunked,high,False,1,aligned,0.8885,0,0,0,1.0,0
5,9,MV++_0042,Dharma,Bodo,completed,gemini-chunked,high,False,1,aligned,0.8692,0,0,0,1.0,0
5,9,MV++_0046,Sukoon,Dogri,completed,gemini-chunked,high,False,1,aligned,0.9681,0,0,0,1.0,0
5,9,MV++_0048,Chandna,Dogri,completed,gemini-chunked,high,False,1,aligned,0.8313,0,0,0,1.0,0
5,9,MV++_0050,Kashmir,Dogri,completed,gemini-chunked,high,False,1,aligned,0.9118,0,0,0,1.0,0
5,9,MV++_0052,Ghar,Dogri,completed,gemini-chunked,high,False,1,aligned,0.8337,0,0,0,1.0,0
5,9,MV++_0053,Jeevan,Dogri,completed,gemini-chunked,high,False,1,aligned,0.8634,0,0,0,1.0,0
5,9,MV++_0054,Dharti,Dogri,completed,gemini-chunked,high,False,1,aligned,0.8091,0,0,0,1.0,0
5,9,MV++_0055,Mara Pranad,Gujarati,completed,gemini-chunked,high,False,1,aligned,0.9478,0,0,0,1.0,0
5,9,MV++_0061,Agnibeena,Hindi,completed,gemini-chunked,low,False,2,aligned,0.7649,0,0,0,0.5,0
5,9,MV++_0073,Ek Chadar Maili Si,Hindi,completed,gemini-chunked,high,False,5,aligned,0.8596,0,0,0,0.6,0
5,9,MV++_0084,Sitaron Se Aage Jahan,Hindi,completed,gemini-chunked,high,False,2,aligned,0.8897,0,0,0,0.75,0
5,9,MV++_0105,Saare Jahan Se Achha,Hindi,completed,gemini-chunked,high,False,3,aligned,0.8823,0,0,0,0.833333,0
5,9,MV++_0108,Tumhare Haath Ki Chudiyan,Hindi,completed,gemini-chunked,high,False,2,aligned,0.8867,0,0,0,0.75,0
5,9,MV++_0906,Adaviyu,Kannada,completed,gemini-chunked,low,False,1,aligned,0.8767,0,0,0,0.5,0
5,9,MV++_0974,Kaveri,Kannada,completed,gemini-chunked,high,False,1,aligned,0.9172,0,0,0,1.0,0
5,9,MV++_0982,Ganga,Kannada,completed,gemini-chunked,high,False,1,aligned,0.8569,0,0,0,1.0,0
5,9,MV++_0989,Aakasha Deepa,Kannada,completed,gemini-chunked,high,False,1,aligned,0.8343,0,0,0,1.0,0
5,9,MV++_1042,Prithvi Ki Santaan,Kannada,completed,gemini-chunked,high,False,3,aligned,0.9011,0,0,0,0.666667,0
5,9,MV++_1045,Kaidi Aur Kokila,Kannada,completed,gemini-chunked,high,False,3,aligned,0.91,0,0,0,0.666667,0
5,9,MV++_1047,Doosra Sita,Kannada,completed,gemini-chunked,low,False,3,aligned,0.9036,0,0,0,0.5,0
5,9,MV++_1048,Ram Ka Prem Patra,Kannada,completed,gemini-chunked,high,False,3,aligned,0.8987,0,0,0,0.666667,0
